geometry
"POLYGON ((123753.71361400464 440808.69011467765, 123628.71361400464 441025.19646562374, 123378.71361400464 441025.19646562374, 123253.71361400464 440808.69011467765, 123378.71361400464 440592.18376373156, 123628.71361400464 440592.18376373156, 123753.71361400464 440808.69011467765))"
"POLYGON ((124186.72631589684 440808.69011467765, 124061.72631589684 441025.19646562374, 123811.72631589684 441025.19646562374, 123686.72631589684 440808.69011467765, 123811.72631589684 440592.18376373156, 124061.72631589684 440592.18376373156, 124186.72631589684 440808.69011467765))"
"POLYGON ((167921.009207011 440808.69011467765, 167796.009207011 441025.19646562374, 167546.009207011 441025.19646562374, 167421.009207011 440808.69011467765, 167546.009207011 440592.18376373156, 167796.009207011 440592.18376373156, 167921.009207011 440808.69011467765))"
"POLYGON ((168354.0219089032 440808.69011467765, 168229.0219089032 441025.19646562374, 167979.0219089032 441025.19646562374, 167854.0219089032 440808.69011467765, 167979.0219089032 440592.18376373156, 168229.0219089032 440592.18376373156, 168354.0219089032 440808.69011467765))"
"POLYGON ((168787.03461079544 440808.69011467765, 168662.03461079544 441025.19646562374, 168412.03461079544 441025.19646562374, 168287.03461079544 440808.69011467765, 168412.03461079544 440592.18376373156, 168662.03461079544 440592.18376373156, 168787.03461079544 440808.69011467765))"
"POLYGON ((169220.04731268765 440808.69011467765, 169095.04731268765 441025.19646562374, 168845.04731268765 441025.19646562374, 168720.04731268765 440808.69011467765, 168845.04731268765 440592.18376373156, 169095.04731268765 440592.18376373156, 169220.04731268765 440808.69011467765))"
"POLYGON ((169653.06001457988 440808.69011467765, 169528.06001457988 441025.19646562374, 169278.06001457988 441025.19646562374, 169153.06001457988 440808.69011467765, 169278.06001457988 440592.18376373156, 169528.06001457988 440592.18376373156, 169653.06001457988 440808.69011467765))"
"POLYGON ((170086.0727164721 440808.69011467765, 169961.0727164721 441025.19646562374, 169711.0727164721 441025.19646562374, 169586.0727164721 440808.69011467765, 169711.0727164721 440592.18376373156, 169961.0727164721 440592.18376373156, 170086.0727164721 440808.69011467765))"
"POLYGON ((170519.08541836432 440808.69011467765, 170394.08541836432 441025.19646562374, 170144.08541836432 441025.19646562374, 170019.08541836432 440808.69011467765, 170144.08541836432 440592.18376373156, 170394.08541836432 440592.18376373156, 170519.08541836432 440808.69011467765))"
"POLYGON ((170952.09812025653 440808.69011467765, 170827.09812025653 441025.19646562374, 170577.09812025653 441025.19646562374, 170452.09812025653 440808.69011467765, 170577.09812025653 440592.18376373156, 170827.09812025653 440592.18376373156, 170952.09812025653 440808.69011467765))"
"POLYGON ((171385.11082214874 440808.69011467765, 171260.11082214874 441025.19646562374, 171010.11082214874 441025.19646562374, 170885.11082214874 440808.69011467765, 171010.11082214874 440592.18376373156, 171260.11082214874 440592.18376373156, 171385.11082214874 440808.69011467765))"
"POLYGON ((119640.09294602854 441183.69011467765, 119515.09294602854 441400.19646562374, 119265.09294602854 441400.19646562374, 119140.09294602854 441183.69011467765, 119265.09294602854 440967.18376373156, 119515.09294602854 440967.18376373156, 119640.09294602854 441183.69011467765))"
"POLYGON ((120073.10564792076 441183.69011467765, 119948.10564792076 441400.19646562374, 119698.10564792076 441400.19646562374, 119573.10564792076 441183.69011467765, 119698.10564792076 440967.18376373156, 119948.10564792076 440967.18376373156, 120073.10564792076 441183.69011467765))"
"POLYGON ((120506.11834981298 441183.69011467765, 120381.11834981298 441400.19646562374, 120131.11834981298 441400.19646562374, 120006.11834981298 441183.69011467765, 120131.11834981298 440967.18376373156, 120381.11834981298 440967.18376373156, 120506.11834981298 441183.69011467765))"
"POLYGON ((120939.1310517052 441183.69011467765, 120814.1310517052 441400.19646562374, 120564.1310517052 441400.19646562374, 120439.1310517052 441183.69011467765, 120564.1310517052 440967.18376373156, 120814.1310517052 440967.18376373156, 120939.1310517052 441183.69011467765))"
"POLYGON ((121372.14375359741 441183.69011467765, 121247.14375359741 441400.19646562374, 120997.14375359741 441400.19646562374, 120872.14375359741 441183.69011467765, 120997.14375359741 440967.18376373156, 121247.14375359741 440967.18376373156, 121372.14375359741 441183.69011467765))"
"POLYGON ((121805.15645548963 441183.69011467765, 121680.15645548963 441400.19646562374, 121430.15645548963 441400.19646562374, 121305.15645548963 441183.69011467765, 121430.15645548963 440967.18376373156, 121680.15645548963 440967.18376373156, 121805.15645548963 441183.69011467765))"
"POLYGON ((122238.16915738185 441183.69011467765, 122113.16915738185 441400.19646562374, 121863.16915738185 441400.19646562374, 121738.16915738185 441183.69011467765, 121863.16915738185 440967.18376373156, 122113.16915738185 440967.18376373156, 122238.16915738185 441183.69011467765))"
